date,gz_spread,ebp,est_prob
JAN1973,1.0997,0.0066,0.2135889748
FEB1973,1.0382,-0.0189,0.2039955066
MAR1973,0.9772,-0.1075,0.1726162268
APR1973,0.9394,-0.1632,0.1545441105
MAY1973,0.9927,-0.0721,0.1847619647
JUN1973,1.1200,0.0204,0.2189177615
JUL1973,0.9230,-0.3532,0.1026117622
AUG1973,0.9431,-0.2087,0.1407677195
SEP1973,0.7580,-0.3557,0.1020167872
OCT1973,1.2111,0.1093,0.2549311001
NOV1973,1.3006,0.0410,0.2270009854
DEC1973,1.2179,-0.0313,0.1994007649
JAN1974,1.0936,-0.0660,0.1868933295
FEB1974,1.2290,0.1409,0.26845843
MAR1974,1.1467,-0.1258,0.1665446258
APR1974,1.1498,0.0298,0.2225963109
MAY1974,1.1808,0.0367,0.2252864562
JUN1974,1.6895,0.6034,0.4961139494
JUL1974,2.3876,1.1132,0.7454336854
AUG1974,1.8510,0.7144,0.5541568789
SEP1974,2.0977,0.7872,0.591640837
OCT1974,2.3033,0.8709,0.6337301356
NOV1974,2.1200,0.8887,0.6424952239
DEC1974,2.4231,1.0231,0.706034218
JAN1975,1.6050,0.3262,0.3541810242
FEB1975,1.5121,0.3446,0.3632201576
MAR1975,1.7679,0.5247,0.4549435698
APR1975,1.4164,0.1597,0.2766624524
MAY1975,1.4822,0.2984,0.3407223815
JUN1975,1.3467,0.1855,0.2881316134
JUL1975,1.3936,0.3247,0.3534493003
AUG1975,1.3679,0.2451,0.3154038883
SEP1975,1.3173,0.2439,0.314863825
OCT1975,1.2483,0.0544,0.232335308
NOV1975,1.2373,0.1455,0.2704559066
DEC1975,1.1656,-0.0709,0.1851795789
JAN1976,0.9514,-0.1441,0.1605975359
FEB1976,1.0415,-0.0504,0.1924360065
MAR1976,0.9895,-0.0959,0.1765226316
APR1976,1.0194,-0.0469,0.1937312717
MAY1976,0.9918,-0.1097,0.1718681411
JUN1976,0.9837,-0.0360,0.1976654834
JUL1976,0.9536,-0.0673,0.1864480317
AUG1976,0.8808,-0.1491,0.1589984977
SEP1976,0.8282,-0.1837,0.1482164227
OCT1976,0.9007,-0.1162,0.1697117796
NOV1976,0.8161,-0.3421,0.1052458213
DEC1976,1.0863,-0.0193,0.2038131262
JAN1977,0.9646,-0.3057,0.1142242728
FEB1977,0.9169,-0.1743,0.1510933372
MAR1977,0.9092,-0.1358,0.1632708694
APR1977,0.8453,-0.2235,0.1364621687
MAY1977,0.7910,-0.2295,0.1347562748
JUN1977,0.8358,-0.2505,0.1288494057
JUL1977,0.8872,-0.1572,0.1564214146
AUG1977,0.9384,-0.1751,0.150864792
SEP1977,0.9547,-0.1316,0.1646243331
OCT1977,0.9499,-0.1406,0.1617233221
NOV1977,0.9508,-0.1265,0.1662970408
DEC1977,0.7942,-0.3308,0.1079780791
JAN1978,0.7638,-0.3371,0.1064451305
FEB1978,0.7158,-0.3418,0.1053100738
MAR1978,0.7251,-0.3400,0.1057386606
APR1978,0.7367,-0.2858,0.1193445768
MAY1978,0.7744,-0.2509,0.1287305061
JUN1978,0.6234,-0.4423,0.0832003955
JUL1978,0.6200,-0.3565,0.1018332711
AUG1978,0.6029,-0.3835,0.0956807946
SEP1978,0.6405,-0.3142,0.112084518
OCT1978,0.5582,-0.5049,0.0713086859
NOV1978,0.6606,-0.2638,0.1252023191
DEC1978,0.6391,-0.4055,0.0908602661
JAN1979,0.6898,-0.2788,0.1211962274
FEB1979,0.6633,-0.3244,0.1095557537
MAR1979,0.6478,-0.1801,0.1493263383
APR1979,0.6426,-0.2280,0.1351606645
MAY1979,0.7016,-0.2752,0.122155864
JUN1979,0.7355,-0.1939,0.1451451059
JUL1979,0.6554,-0.2547,0.1276877148
AUG1979,0.5762,-0.3382,0.1061705461
SEP1979,0.6858,-0.1515,0.1582201286
OCT1979,0.6974,-0.7719,0.0346116075
NOV1979,0.7571,-0.1549,0.1571430806
DEC1979,0.8217,0.1017,0.2517217202
JAN1980,0.8042,-0.0623,0.188193791
FEB1980,0.8601,-0.4461,0.082430751
MAR1980,0.9443,0.2508,0.3180848695
APR1980,1.0930,-0.5171,0.0691452449
MAY1980,0.9518,-0.0277,0.2007048643
JUN1980,0.9064,-0.1315,0.1646774222
JUL1980,0.9169,0.0503,0.2307051354
AUG1980,0.8519,-0.0299,0.1998888424
SEP1980,0.8984,-0.0619,0.1883456369
OCT1980,0.8518,-0.1730,0.151503819
NOV1980,0.9785,0.2966,0.3398517914
DEC1980,1.0826,0.0480,0.2297708398
JAN1981,1.0502,0.3518,0.366792711
FEB1981,0.8677,0.1148,0.2572454172
MAR1981,0.8395,-0.0089,0.2077057007
APR1981,1.1279,0.5379,0.461821173
MAY1981,1.1881,0.3620,0.3718267052
JUN1981,1.0710,0.4259,0.4040213909
JUL1981,1.1000,0.4342,0.4082494555
AUG1981,0.9867,0.2736,0.3288431285
